order_id,user_id,order_date,revenue,plan_type,is_refund
O2,2,2024-01-09,49.0,Basic,0
O10,10,2024-01-18,49.0,Basic,0
O13,13,2024-01-09,89.1,Pro,0
O18,18,2024-01-07,269.1,Enterprise,0
O21,21,2024-01-05,299.0,Enterprise,0
O25,25,2024-01-25,269.1,Enterprise,0
O27,27,2024-01-20,49.0,Basic,0
O33,33,2024-01-20,49.0,Basic,0
O44,44,2024-01-24,49.0,Basic,0
O46,46,2024-01-11,299.0,Enterprise,0
O60,60,2024-01-04,299.0,Enterprise,0
O66,66,2024-01-11,269.1,Enterprise,0
O74,74,2024-01-10,49.0,Basic,0
O86,86,2024-01-14,49.0,Basic,0
O100,100,2024-01-19,49.0,Basic,0
O104,104,2024-01-22,44.1,Basic,0
O117,117,2024-01-07,89.1,Pro,0
O119,119,2024-01-06,49.0,Basic,0
O120,120,2024-01-16,49.0,Basic,0
O121,121,2024-01-17,99.0,Pro,0
O127,127,2024-01-08,269.1,Enterprise,0
O129,129,2024-01-17,269.1,Enterprise,0
O146,146,2024-01-22,299.0,Enterprise,0
O153,153,2024-01-14,299.0,Enterprise,0
O162,162,2024-01-13,99.0,Pro,0
O165,165,2024-01-21,269.1,Enterprise,0
O171,171,2024-01-06,269.1,Enterprise,0
O182,182,2024-01-09,299.0,Enterprise,0
O208,208,2024-01-07,299.0,Enterprise,0
O212,212,2024-01-04,44.1,Basic,0
O215,215,2024-01-16,89.1,Pro,0
O224,224,2024-01-08,89.1,Pro,0
O244,244,2024-01-11,99.0,Pro,0
O245,245,2024-01-15,99.0,Pro,0
O253,253,2024-01-24,89.1,Pro,0
O259,259,2024-01-20,99.0,Pro,0
O273,273,2024-01-15,269.1,Enterprise,0
O275,275,2024-01-17,89.1,Pro,0
O279,279,2024-01-22,44.1,Basic,0
O294,294,2024-01-14,44.1,Basic,0
O319,319,2024-01-04,99.0,Pro,0
O322,322,2024-01-09,89.1,Pro,0
O323,323,2024-01-18,269.1,Enterprise,0
O327,327,2024-01-04,44.1,Basic,0
O328,328,2024-01-11,49.0,Basic,1
O330,330,2024-01-09,299.0,Enterprise,0
O342,342,2024-01-16,49.0,Basic,0
O344,344,2024-01-14,89.1,Pro,0
O351,351,2024-01-18,89.1,Pro,0
O353,353,2024-01-19,89.1,Pro,0
O355,355,2024-01-10,44.1,Basic,0
O356,356,2024-01-08,99.0,Pro,1
O357,357,2024-01-16,89.1,Pro,0
O364,364,2024-01-14,99.0,Pro,0
O368,368,2024-01-16,99.0,Pro,0
O391,391,2024-01-17,269.1,Enterprise,0
O394,394,2024-01-23,299.0,Enterprise,0
O395,395,2024-01-23,269.1,Enterprise,0
O402,402,2024-01-17,269.1,Enterprise,0
O408,408,2024-01-16,44.1,Basic,0
O423,423,2024-01-08,49.0,Basic,0
O427,427,2024-01-16,99.0,Pro,0
O429,429,2024-01-03,269.1,Enterprise,0
O442,442,2024-01-07,269.1,Enterprise,0
O447,447,2024-01-09,89.1,Pro,0
O451,451,2024-01-23,44.1,Basic,0
O466,466,2024-01-09,49.0,Basic,0
O467,467,2024-01-18,89.1,Pro,0
O472,472,2024-01-05,299.0,Enterprise,0
O476,476,2024-01-19,44.1,Basic,0
O500,500,2024-01-12,49.0,Basic,0
O501,501,2024-01-15,44.1,Basic,0
O502,502,2024-01-05,99.0,Pro,0
O511,511,2024-01-16,89.1,Pro,0
O521,521,2024-01-15,49.0,Basic,0
O522,522,2024-01-16,299.0,Enterprise,0
O526,526,2024-01-12,299.0,Enterprise,0
