ticket_id,user_id,created_at,category
T12,12,2024-03-16,technical
T15,15,2024-01-08,billing
T24,24,2024-03-03,billing
T32,32,2024-02-22,technical
T48,48,2024-01-23,product
T49,49,2024-01-10,billing
T61,61,2024-01-21,billing
T71,71,2024-01-11,billing
T77,77,2024-02-17,technical
T80,80,2024-03-04,billing
T98,98,2024-02-05,technical
T116,116,2024-03-09,technical
T117,117,2024-01-19,technical
T124,124,2024-01-12,billing
T126,126,2024-03-07,technical
T160,160,2024-03-10,product
T161,161,2024-03-29,billing
T166,166,2024-02-25,billing
T185,185,2024-01-10,billing
T188,188,2024-02-16,billing
T195,195,2024-01-23,billing
T205,205,2024-03-18,technical
T211,211,2024-01-28,technical
T219,219,2024-03-23,billing
T222,222,2024-03-22,technical
T249,249,2024-01-15,billing
T250,250,2024-02-06,technical
T254,254,2024-02-08,technical
T258,258,2024-02-18,technical
T272,272,2024-03-14,technical
T273,273,2024-03-11,product
T274,274,2024-03-27,billing
T294,294,2024-02-24,product
T296,296,2024-02-08,technical
T298,298,2024-01-19,product
T354,354,2024-03-04,billing
T355,355,2024-02-26,billing
T362,362,2024-02-02,technical
T364,364,2024-01-29,product
T365,365,2024-02-26,product
T378,378,2024-03-01,product
T382,382,2024-03-13,billing
T391,391,2024-02-17,billing
T413,413,2024-02-28,product
T416,416,2024-03-02,billing
T418,418,2024-02-04,billing
T423,423,2024-03-17,product
T429,429,2024-03-21,billing
T446,446,2024-03-30,product
T456,456,2024-03-26,product
T465,465,2024-03-04,technical
T474,474,2024-02-02,product
T529,529,2024-03-09,billing
T531,531,2024-01-29,technical
T545,545,2024-02-27,product
T553,553,2024-03-19,technical
T561,561,2024-03-22,billing
T591,591,2024-01-13,product
T598,598,2024-02-24,billing
T599,599,2024-01-22,technical
T602,602,2024-03-09,product
T612,612,2024-01-03,technical
T615,615,2024-01-13,technical
T638,638,2024-03-19,product
T639,639,2024-01-12,technical
T640,640,2024-01-19,billing
T642,642,2024-03-02,technical
T650,650,2024-01-27,billing
T663,663,2024-03-07,billing
T712,712,2024-02-07,technical
T719,719,2024-02-09,billing
T721,721,2024-03-28,product
T737,737,2024-03-17,billing
T738,738,2024-02-20,billing
T741,741,2024-01-31,billing
T753,753,2024-01-10,product
T756,756,2024-01-30,product
T771,771,2024-02-09,product
T772,772,2024-01-28,technical
T775,775,2024-01-11,product
T805,805,2024-02-29,billing
T818,818,2024-03-11,product
T830,830,2024-01-11,product
T835,835,2024-02-15,billing
T846,846,2024-01-29,technical
T853,853,2024-02-20,product
T857,857,2024-01-30,technical
T859,859,2024-01-25,technical
T860,860,2024-03-30,technical
T874,874,2024-03-28,billing
T886,886,2024-01-14,technical
T888,888,2024-03-05,technical
T891,891,2024-03-29,billing
T901,901,2024-02-10,technical
T904,904,2024-02-02,technical
T908,908,2024-03-14,billing
T914,914,2024-02-14,billing
T924,924,2024-01-06,product
T943,943,2024-02-20,product
T951,951,2024-03-11,product
T967,967,2024-02-08,technical
T972,972,2024-01-10,technical
T985,985,2024-02-27,technical
T986,986,2024-02-13,billing
T987,987,2024-03-20,technical
T989,989,2024-02-16,product
T997,997,2024-01-11,billing
T999,999,2024-01-11,billing
T1004,1004,2024-02-28,billing
T1011,1011,2024-01-30,product
T1012,1012,2024-02-12,product
T1049,1049,2024-03-11,product
T1059,1059,2024-01-28,billing
T1087,1087,2024-02-01,billing
T1090,1090,2024-02-15,technical
T1091,1091,2024-01-23,technical
T1104,1104,2024-02-21,product
T1109,1109,2024-03-01,billing
T1117,1117,2024-03-05,technical
T1118,1118,2024-03-17,product
T1125,1125,2024-03-11,product
T1136,1136,2024-03-28,technical
T1137,1137,2024-02-19,product
T1146,1146,2024-01-20,billing
T1201,1201,2024-03-09,product
T1203,1203,2024-03-27,billing
T1206,1206,2024-01-04,billing
T1217,1217,2024-02-07,technical
T1224,1224,2024-01-19,technical
T1231,1231,2024-01-04,technical
T1239,1239,2024-03-28,product
T1251,1251,2024-03-26,technical
T1272,1272,2024-01-08,technical
T1285,1285,2024-01-07,product
T1306,1306,2024-03-14,technical
T1321,1321,2024-02-22,product
T1329,1329,2024-02-19,product
T1338,1338,2024-03-24,billing
T1340,1340,2024-02-12,billing
T1354,1354,2024-03-09,technical
T1363,1363,2024-02-03,product
T1364,1364,2024-03-10,billing
T1375,1375,2024-03-16,billing
T1376,1376,2024-01-30,billing
T1377,1377,2024-02-02,billing
T1384,1384,2024-01-03,technical
T1403,1403,2024-03-17,billing
T1437,1437,2024-02-12,technical
T1448,1448,2024-02-14,product
T1458,1458,2024-01-06,technical
T1468,1468,2024-03-24,billing
T1471,1471,2024-03-22,product
T1508,1508,2024-01-28,product
T1512,1512,2024-02-04,technical
T1517,1517,2024-01-31,product
T1560,1560,2024-03-20,technical
T1561,1561,2024-03-09,product
T1563,1563,2024-03-30,technical
T1568,1568,2024-01-29,billing
T1642,1642,2024-03-23,technical
T1657,1657,2024-02-08,technical
T1677,1677,2024-03-18,billing
T1683,1683,2024-01-16,technical
T1685,1685,2024-02-05,technical
T1690,1690,2024-02-23,product
T1702,1702,2024-02-17,technical
T1712,1712,2024-03-21,product
T1741,1741,2024-02-18,billing
T1744,1744,2024-03-30,product
T1763,1763,2024-03-24,product
T1767,1767,2024-01-10,billing
T1774,1774,2024-02-18,product
T1784,1784,2024-01-15,billing
T1792,1792,2024-03-05,technical
T1814,1814,2024-01-10,technical
T1832,1832,2024-02-04,product
T1833,1833,2024-01-23,technical
T1842,1842,2024-02-29,billing
T1862,1862,2024-01-18,technical
T1896,1896,2024-03-27,billing
T1898,1898,2024-02-25,technical
T1909,1909,2024-03-09,product
T1911,1911,2024-01-06,technical
T1924,1924,2024-01-26,technical
T1927,1927,2024-01-23,technical
T1930,1930,2024-01-10,billing
T1936,1936,2024-03-26,billing
T1944,1944,2024-02-02,product
T1953,1953,2024-02-18,billing
T1955,1955,2024-02-23,technical
T1957,1957,2024-02-10,technical
T1967,1967,2024-01-27,billing
T1969,1969,2024-03-28,technical
T1988,1988,2024-02-12,product
T1992,1992,2024-01-28,product
T2004,2004,2024-01-08,billing
T2045,2045,2024-02-07,billing
T2061,2061,2024-01-17,product
