user_id,signup_date,country,segment,channel
1,2023-11-24,IN,SMB,Referral
2,2023-12-29,UK,SMB,Organic
3,2023-12-15,US,SMB,Direct
4,2023-12-07,IN,SMB,Organic
5,2023-11-11,UK,SMB,Paid Search
6,2023-11-11,DE,Mid-Market,Social
7,2023-11-05,US,Mid-Market,Organic
8,2023-12-23,DE,Mid-Market,Direct
9,2023-12-08,US,SMB,Paid Search
10,2023-12-14,US,SMB,Paid Search
11,2023-11-03,AU,SMB,Social
12,2023-12-30,UK,Mid-Market,Referral
13,2023-12-21,DE,SMB,Paid Search
14,2023-11-14,DE,SMB,Direct
15,2023-11-12,US,SMB,Social
16,2023-11-13,IN,Mid-Market,Direct
17,2023-11-20,US,SMB,Referral
18,2023-12-03,IN,SMB,Direct
19,2023-11-27,DE,SMB,Referral
20,2023-11-19,US,SMB,Social
21,2023-12-08,US,Mid-Market,Direct
22,2023-11-10,IN,SMB,Organic
23,2023-11-19,DE,Mid-Market,Direct
24,2023-11-23,DE,Mid-Market,Organic
25,2023-11-29,US,SMB,Organic
26,2023-12-19,IN,SMB,Direct
27,2023-11-13,US,SMB,Organic
28,2023-12-02,DE,Enterprise,Paid Search
29,2023-12-07,US,SMB,Paid Search
30,2023-11-04,US,SMB,Direct
31,2023-12-08,DE,Mid-Market,Paid Search
32,2023-11-12,US,SMB,Organic
33,2023-11-05,IN,Mid-Market,Social
34,2023-12-28,DE,Mid-Market,Direct
35,2023-12-29,IN,Enterprise,Referral
36,2023-12-20,US,SMB,Paid Search
37,2023-11-20,US,SMB,Paid Search
38,2023-11-07,DE,Enterprise,Organic
39,2023-12-13,US,Enterprise,Paid Search
40,2023-11-28,UK,SMB,Direct
41,2023-11-09,DE,SMB,Social
42,2023-12-01,IN,SMB,Paid Search
43,2023-11-04,US,Mid-Market,Direct
44,2023-12-26,IN,Mid-Market,Social
45,2023-11-17,UK,SMB,Paid Search
46,2023-12-11,DE,SMB,Referral
47,2023-11-20,US,SMB,Direct
48,2023-12-03,UK,SMB,Organic
49,2023-12-04,IN,SMB,Organic
50,2023-11-13,IN,SMB,Social
51,2023-12-30,US,SMB,Direct
52,2023-12-18,DE,SMB,Social
53,2023-12-28,US,SMB,Direct
54,2023-12-25,IN,Mid-Market,Paid Search
55,2023-12-07,DE,Mid-Market,Paid Search
56,2023-12-27,IN,Mid-Market,Direct
57,2023-11-07,UK,Mid-Market,Social
58,2023-11-13,US,Mid-Market,Direct
59,2023-11-04,UK,SMB,Paid Search
60,2023-11-21,US,SMB,Organic
61,2023-11-25,US,Enterprise,Paid Search
62,2023-11-18,US,SMB,Referral
63,2023-12-21,IN,SMB,Social
64,2023-11-23,US,SMB,Social
65,2023-11-18,IN,Mid-Market,Social
66,2023-12-04,US,SMB,Referral
67,2023-11-10,AU,SMB,Social
68,2023-12-20,AU,Mid-Market,Referral
69,2023-11-06,US,Enterprise,Organic
70,2023-12-31,AU,SMB,Paid Search
71,2023-12-18,IN,SMB,Paid Search
72,2023-11-13,US,Enterprise,Paid Search
73,2023-11-02,AU,SMB,Referral
74,2023-12-20,US,SMB,Paid Search
75,2023-12-14,US,SMB,Organic
76,2023-12-15,DE,SMB,Direct
77,2023-12-18,US,SMB,Organic
78,2023-11-06,US,Mid-Market,Paid Search
79,2023-11-23,AU,SMB,Social
80,2023-11-08,AU,SMB,Direct
81,2023-12-23,IN,SMB,Direct
82,2023-12-09,UK,Enterprise,Direct
83,2023-11-21,AU,SMB,Social
84,2023-11-05,US,SMB,Direct
85,2023-11-20,AU,SMB,Referral
86,2023-11-21,US,Mid-Market,Social
87,2023-12-15,IN,Mid-Market,Referral
88,2023-12-10,DE,Mid-Market,Social
89,2023-12-25,AU,Enterprise,Paid Search
90,2023-11-30,IN,SMB,Direct
91,2023-11-09,IN,SMB,Social
92,2023-12-14,DE,Enterprise,Referral
93,2023-12-17,IN,SMB,Organic
94,2023-12-05,IN,SMB,Direct
95,2023-12-18,US,SMB,Referral
96,2023-12-01,DE,SMB,Organic
97,2023-12-03,US,SMB,Social
98,2023-11-27,IN,Enterprise,Direct
99,2023-11-03,US,SMB,Organic
100,2023-11-08,AU,SMB,Referral
101,2023-11-03,UK,Enterprise,Organic
102,2023-12-10,US,SMB,Social
103,2023-11-20,AU,Mid-Market,Social
104,2023-12-02,US,SMB,Social
105,2023-12-26,UK,Mid-Market,Social
106,2023-11-16,IN,Enterprise,Social
107,2023-11-26,US,SMB,Paid Search
108,2023-12-17,UK,SMB,Organic
109,2023-11-15,IN,Enterprise,Referral
110,2023-11-06,AU,Mid-Market,Direct
111,2023-11-19,US,SMB,Organic
112,2023-11-11,US,SMB,Paid Search
113,2023-12-27,UK,SMB,Organic
114,2023-12-20,UK,Mid-Market,Direct
115,2023-12-10,UK,SMB,Direct
116,2023-12-24,US,Mid-Market,Organic
117,2023-12-20,DE,SMB,Referral
118,2023-11-13,IN,SMB,Referral
119,2023-12-25,US,Mid-Market,Direct
120,2023-12-04,US,SMB,Direct
121,2023-12-20,DE,SMB,Organic
122,2023-12-25,US,Mid-Market,Social
123,2023-11-21,DE,SMB,Direct
124,2023-11-08,US,Mid-Market,Organic
125,2023-11-15,US,Mid-Market,Paid Search
126,2023-11-27,UK,SMB,Paid Search
127,2023-12-21,US,SMB,Referral
128,2023-12-23,IN,SMB,Referral
129,2023-11-02,AU,Mid-Market,Direct
130,2023-12-02,UK,Mid-Market,Organic
131,2023-11-27,DE,Mid-Market,Paid Search
132,2023-11-15,US,Mid-Market,Organic
133,2023-11-09,IN,SMB,Paid Search
134,2023-11-22,DE,SMB,Direct
135,2023-12-28,US,Mid-Market,Organic
136,2023-11-21,US,Mid-Market,Referral
137,2023-12-03,US,SMB,Organic
138,2023-12-14,US,Enterprise,Referral
139,2023-11-23,DE,Mid-Market,Paid Search
140,2023-12-30,AU,Mid-Market,Organic
141,2023-12-29,IN,SMB,Referral
142,2023-11-17,UK,SMB,Organic
143,2023-12-01,UK,Enterprise,Direct
144,2023-11-20,US,SMB,Referral
145,2023-11-19,DE,Mid-Market,Social
146,2023-11-04,US,Enterprise,Paid Search
147,2023-12-08,US,SMB,Organic
148,2023-12-02,DE,Mid-Market,Organic
149,2023-11-05,US,SMB,Paid Search
150,2023-11-18,US,Mid-Market,Referral
151,2023-12-26,US,SMB,Paid Search
152,2023-11-16,US,Mid-Market,Organic
153,2023-11-10,UK,SMB,Social
154,2023-12-01,US,SMB,Organic
155,2023-12-31,US,SMB,Direct
156,2023-11-16,US,SMB,Referral
157,2023-12-12,US,Mid-Market,Social
158,2023-12-17,AU,Mid-Market,Paid Search
159,2023-11-16,US,Mid-Market,Referral
160,2023-12-15,US,Mid-Market,Organic
161,2023-11-24,DE,Enterprise,Social
162,2023-12-09,US,SMB,Paid Search
163,2023-12-10,DE,SMB,Paid Search
164,2023-12-04,US,SMB,Organic
165,2023-11-07,AU,SMB,Paid Search
166,2023-12-22,AU,SMB,Direct
167,2023-11-21,DE,SMB,Direct
168,2023-11-13,IN,SMB,Social
169,2023-11-04,UK,Mid-Market,Referral
170,2023-12-07,AU,Mid-Market,Direct
171,2023-12-12,UK,SMB,Referral
172,2023-11-02,US,Mid-Market,Social
173,2023-12-02,US,SMB,Paid Search
174,2023-11-15,US,Mid-Market,Direct
175,2023-12-10,DE,SMB,Direct
176,2023-11-12,US,SMB,Organic
177,2023-12-13,DE,SMB,Social
178,2023-11-25,US,SMB,Referral
179,2023-12-28,IN,SMB,Referral
180,2023-11-10,DE,Mid-Market,Direct
181,2023-11-22,DE,SMB,Organic
182,2023-11-08,DE,Enterprise,Organic
183,2023-12-27,IN,Mid-Market,Direct
184,2023-12-24,US,SMB,Organic
185,2023-11-17,US,Mid-Market,Referral
186,2023-12-11,IN,Mid-Market,Paid Search
187,2023-12-21,IN,SMB,Social
188,2023-12-05,UK,Mid-Market,Paid Search
189,2023-12-03,US,Enterprise,Direct
190,2023-11-16,US,Mid-Market,Paid Search
191,2023-11-07,US,Enterprise,Social
192,2023-12-25,AU,Mid-Market,Referral
193,2023-12-26,US,Mid-Market,Social
194,2023-12-09,DE,SMB,Organic
195,2023-11-22,IN,SMB,Direct
196,2023-11-22,US,Mid-Market,Social
197,2023-12-15,US,Enterprise,Organic
198,2023-12-25,US,SMB,Organic
199,2023-12-25,DE,Mid-Market,Organic
200,2023-12-18,US,Mid-Market,Social
201,2023-12-10,US,SMB,Paid Search
202,2023-11-07,US,Mid-Market,Social
203,2023-11-11,US,Enterprise,Organic
204,2023-12-25,US,Mid-Market,Paid Search
205,2023-12-08,US,SMB,Direct
206,2023-11-02,US,Enterprise,Organic
207,2023-11-08,IN,SMB,Referral
208,2023-12-11,US,SMB,Social
209,2023-11-02,DE,SMB,Organic
210,2023-11-11,DE,SMB,Direct
211,2023-12-04,IN,Mid-Market,Social
212,2023-12-13,US,SMB,Organic
213,2023-12-11,US,SMB,Direct
214,2023-11-15,IN,SMB,Paid Search
215,2023-12-14,IN,SMB,Organic
216,2023-11-16,US,Enterprise,Organic
217,2023-11-21,US,Mid-Market,Paid Search
218,2023-12-16,IN,Mid-Market,Paid Search
219,2023-12-10,US,SMB,Paid Search
220,2023-12-22,IN,SMB,Paid Search
221,2023-12-11,AU,Mid-Market,Social
222,2023-12-06,US,Enterprise,Paid Search
223,2023-11-07,IN,SMB,Paid Search
224,2023-11-24,UK,SMB,Referral
225,2023-11-17,IN,SMB,Direct
226,2023-11-16,UK,Mid-Market,Direct
227,2023-12-30,US,SMB,Social
228,2023-11-25,IN,Mid-Market,Social
229,2023-12-25,US,SMB,Referral
230,2023-12-09,AU,Mid-Market,Paid Search
231,2023-12-19,UK,SMB,Paid Search
232,2023-12-02,US,SMB,Referral
233,2023-12-06,US,SMB,Paid Search
234,2023-12-01,IN,SMB,Organic
235,2023-11-13,US,Mid-Market,Direct
236,2023-12-15,IN,SMB,Organic
237,2023-11-18,US,Enterprise,Referral
238,2023-11-03,UK,Enterprise,Social
239,2023-12-10,IN,Mid-Market,Referral
240,2023-11-12,US,Enterprise,Direct
241,2023-12-28,US,Mid-Market,Referral
242,2023-12-29,AU,SMB,Organic
243,2023-12-26,DE,Mid-Market,Paid Search
244,2023-11-24,IN,SMB,Organic
245,2023-11-02,IN,Mid-Market,Direct
246,2023-12-27,UK,SMB,Social
247,2023-11-27,IN,Mid-Market,Referral
248,2023-12-29,DE,Mid-Market,Direct
249,2023-12-29,DE,SMB,Referral
250,2023-12-23,US,Mid-Market,Direct
251,2023-11-19,AU,Mid-Market,Referral
252,2023-11-25,IN,SMB,Organic
253,2023-12-23,US,SMB,Paid Search
254,2023-11-21,DE,SMB,Organic
255,2023-11-12,US,Mid-Market,Organic
256,2023-12-05,DE,SMB,Referral
257,2023-12-28,AU,SMB,Social
258,2023-12-13,US,SMB,Direct
259,2023-12-06,AU,Mid-Market,Organic
260,2023-11-07,US,Mid-Market,Social
261,2023-12-08,UK,Mid-Market,Organic
262,2023-12-31,UK,Mid-Market,Organic
263,2023-11-10,US,Mid-Market,Organic
264,2023-12-03,DE,SMB,Social
265,2023-12-24,IN,SMB,Organic
266,2023-12-16,US,SMB,Social
267,2023-12-13,US,SMB,Organic
268,2023-12-14,DE,SMB,Organic
